Region,Region,District,Latitude,Longitude,N_avg,P_avg,K_avg,pH_avg
Maharashtra,Maharashtra,Ahilya Nagar,19.0948287,74.7479789,51.805,40.369499999999995,221.10999999999999,6.845009999999999
Maharashtra,Maharashtra,Akola,20.7002159,77.0081678,50.19,39.87,282.95,6.8525599999999995
Maharashtra,Maharashtra,Amravati,20.9319821,77.7523039,50.535000000000004,22.1565,268.01,6.6494
Maharashtra,Maharashtra,Chhatrapati Sambhaji Nagar,19.875754,75.3393195,50.989999999999995,38.091,271.32000000000005,6.9142399999999995
Maharashtra,Maharashtra,Beed,18.990088,75.7531324,70.48,30.42,248.46,6.91437
Maharashtra,Maharashtra,Bhandara,21.177658,79.6570127,52.735,21.2145,266.84,6.71817
Maharashtra,Maharashtra,Buldhana,20.5292147,76.1841701,51.045,24.1065,295.11,6.806939999999999
Maharashtra,Maharashtra,Chandrapur,19.9615398,79.2961468,54.614999999999995,28.872000000000003,219.54999999999998,6.801710000000001
Maharashtra,Maharashtra,Dhule,20.9042201,74.7748979,50.795,31.0125,297.4,6.801140000000001
Maharashtra,Maharashtra,Gadchiroli,20.184871,79.9947956,50.39,25.573499999999996,195.15,6.765199999999999
Maharashtra,Maharashtra,Gondia,21.4549477,80.1960712,53.824999999999996,31.266,208.5,6.799309999999999
Maharashtra,Maharashtra,Hingoli,19.7114963,77.1453846,77.06499999999998,27.453,271.89000000000004,6.7998699999999985
Maharashtra,Maharashtra,Jalgaon,21.0076578,75.5626039,53.12,32.2155,292.42999999999995,6.81472
Maharashtra,Maharashtra,Jalna,19.8346659,75.8816345,52.589999999999996,27.701999999999998,295.0,6.82302
Maharashtra,Maharashtra,Kolhapur,16.7049873,74.2432527,75.78999999999999,44.40749999999999,244.39000000000004,6.355759999999999
Maharashtra,Maharashtra,Latur,18.4087934,76.5603828,50.225,25.097999999999992,299.56,6.8013900000000005
Maharashtra,Maharashtra,Mumbai City,19.0759837,72.8776559,64.46707913669064,34.05070143884892,216.24683453237407,6.630826057553958
Maharashtra,Maharashtra,Mumbai Suburban,19.0759559,72.8776378,64.46707913669064,34.05070143884892,216.24683453237407,6.630826057553958
Maharashtra,Maharashtra,Nagpur,21.1458004,79.0881546,51.95,27.555,290.16,6.83548
